Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A732994,*Sidney,09/24/2017 11:37:00 AM,09/24/2017 11:37:00 AM,7301 South Glenn Street in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue
A711704,,09/11/2015 11:01:00 AM,09/11/2015 11:01:00 AM,Vine Hill And Thatch in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A722373,Lacy,03/16/2016 02:55:00 PM,03/16/2016 02:55:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Female,9 months,Chihuahua Shorthair Mix,Cream/White
A782515,*Tortilla,10/16/2018 06:33:00 PM,10/16/2018 06:33:00 PM,9200 North Plaza in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A715128,Oliver,10/31/2015 04:37:00 PM,10/31/2015 04:37:00 PM,E Hwy 71 And Fallwell Ln in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White
A692846,Milo,11/26/2014 02:02:00 PM,11/26/2014 02:02:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A768160,Galey,03/14/2018 01:14:00 PM,03/14/2018 01:14:00 PM,Travis (TX),Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Tan/White
A727030,*Chip,05/17/2016 02:16:00 PM,05/17/2016 02:16:00 PM,12408 Elm Valley in Travis (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
A690283,*Baby,10/17/2014 12:51:00 PM,10/17/2014 12:51:00 PM,5800 Techni Center Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Siamese Mix,Calico Point
A691793,Cash,11/13/2014 12:04:00 PM,11/13/2014 12:04:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,German Shepherd/Great Dane,Sable/Tan
A683225,X,07/09/2014 12:58:00 PM,07/09/2014 12:58:00 PM,14811 Chicadee in Pflugerville (TX),Public Assist,Normal,Cat,Intact Female,1 week,Domestic Shorthair Mix,Calico
A653571,T-Che,10/04/2013 11:50:00 AM,10/04/2013 11:50:00 AM,5704 Arcadia Cir in Del Valle (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Brown/White
A734946,Zero,09/15/2016 04:39:00 PM,09/15/2016 04:39:00 PM,5105 Par Cove in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Dachshund/Chihuahua Shorthair,Cream
A737248,*Cinder,10/24/2016 01:55:00 PM,10/24/2016 01:55:00 PM,Manchaca Rd & Matthews Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black
A670127,Tiny Louise,01/02/2014 01:07:00 PM,01/02/2014 01:07:00 PM,North 183 in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Jack Russell Terrier/Chihuahua Shorthair,Tricolor
