Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A748291,*Madison,05/01/2017 02:26:00 PM,05/01/2017 02:26:00 PM,S Pleasant Valley Rd And E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Pit Bull Mix,Black
A750529,,05/28/2017 01:22:00 PM,05/28/2017 01:22:00 PM,8312 North Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Miniature Schnauzer Mix,White/Cream
A730601,,07/07/2016 12:11:00 PM,07/07/2016 12:11:00 PM,1109 Shady Ln in Austin (TX),Stray,Normal,Cat,Intact Male,7 months,Domestic Shorthair Mix,Blue Tabby
A748238,,05/01/2017 10:53:00 AM,05/01/2017 10:53:00 AM,Airport Blvd And Oak Springs Dr in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Bichon Frise Mix,White
A683644,*Zoey,07/13/2014 11:02:00 AM,07/13/2014 11:02:00 AM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,4 weeks,Border Collie Mix,Brown/White
A780880,*Eeyore,09/29/2018 12:24:00 PM,09/29/2018 12:24:00 PM,Outside Jurisdiction,Owner Surrender,Sick,Dog,Neutered Male,6 years,Pit Bull/Chinese Sharpei,Tan/White
A676515,Rico,04/11/2014 08:45:00 AM,04/11/2014 08:45:00 AM,615 E. Wonsley in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Pit Bull Mix,White/Brown
A679549,*Gilbert,05/22/2014 03:43:00 PM,05/22/2014 03:43:00 PM,124 W Anderson in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A683798,Mustachala,07/21/2016 12:16:00 PM,07/21/2016 12:16:00 PM,3118 Windsor Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,3 years,Domestic Medium Hair Mix,White/Black
A767459,Blue,03/04/2018 11:05:00 AM,03/04/2018 11:05:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683656,,07/13/2014 01:20:00 PM,07/13/2014 01:20:00 PM,8238 Research Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Snowshoe Mix,Lynx Point
A709749,*Janeane,08/12/2015 06:29:00 PM,08/12/2015 06:29:00 PM,4800 Weletka Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A777959,Hamilton,09/14/2018 03:26:00 PM,09/14/2018 03:26:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 months,Anatol Shepherd Mix,Brown/Tricolor
A692161,George,11/15/2014 03:18:00 PM,11/15/2014 03:18:00 PM,Avenue G/42Nd in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 months,Pit Bull Mix,Brown/White
A733551,*Phillip,08/23/2016 02:35:00 PM,08/23/2016 02:35:00 PM,183 And Cameron in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A773634,Augie,06/03/2018 03:26:00 PM,06/03/2018 03:26:00 PM,Braker And Ih35 in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Dachshund Mix,Red
A732960,*Alexis,08/15/2016 03:08:00 PM,08/15/2016 03:08:00 PM,6808 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
A720597,*Franklin,02/12/2016 02:35:00 PM,02/12/2016 02:35:00 PM,8413 Danville Dr in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull Mix,Blue
A756485,,08/20/2017 03:07:00 PM,08/20/2017 03:07:00 PM,1020 Grove Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A782291,,10/13/2018 10:59:00 AM,10/13/2018 10:59:00 AM,127 North Webberville Road in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Yellow
A671219,,01/21/2014 11:19:00 AM,01/21/2014 11:19:00 AM,11602 Gunsmoke Circle in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Siamese Mix,Flame Point
A695601,,01/18/2015 06:18:00 PM,01/18/2015 06:18:00 PM,2940 Eckert St in Austin (TX),Wildlife,Sick,Other,Unknown,6 months,Opossum Mix,Gray
A749535,*Bongo,05/16/2017 11:29:00 AM,05/16/2017 11:29:00 AM,6607 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Border Collie Mix,Black/White
A711377,Ruso,09/06/2015 09:26:00 AM,09/06/2015 09:26:00 AM,Los Arbolos Neighborhood in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Anatol Shepherd Mix,Brown/Tan
A664571,,10/05/2013 01:43:00 PM,10/05/2013 01:43:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie
A727402,Babaji,05/21/2016 04:30:00 PM,05/21/2016 04:30:00 PM,Mopac & W Slaughter Ln in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A782085,Luna,10/10/2018 01:21:00 PM,10/10/2018 01:21:00 PM,6405 South Ih 35 Frontage Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Black Mouth Cur Mix,Brown/Black
A715806,*Samantha,11/10/2015 12:49:00 PM,11/10/2015 12:49:00 PM,1506 Thorneridge Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Boxer/Labrador Retriever,Black
A724944,Cameron,04/23/2016 11:28:00 AM,04/23/2016 11:28:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A763217,*Milton,12/05/2017 01:51:00 PM,12/05/2017 01:51:00 PM,5002 Nuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Neutered Male,8 months,Labrador Retriever Mix,Black/Brown Brindle
A714255,,10/20/2015 12:14:00 PM,10/20/2015 12:14:00 PM,1830 W Rundberg Ln in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
A749579,*Jacob,05/16/2017 05:19:00 PM,05/16/2017 05:19:00 PM,5305 Bolm Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A671448,Xander,01/24/2014 02:54:00 PM,01/24/2014 02:54:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Pekingese Mix,Brown/White
A729190,*Messi,06/14/2016 02:42:00 PM,06/14/2016 02:42:00 PM,Johnny Morris in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A673275,Prince,02/21/2014 12:22:00 PM,02/21/2014 12:22:00 PM,9308 N Lamar in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue Tiger/White
A759224,Lola,09/29/2017 11:31:00 AM,09/29/2017 11:31:00 AM,View Point Drive And Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Dachshund Mix,Blue/White
A761131,*Mary,10/29/2017 05:48:00 PM,10/29/2017 05:48:00 PM,6506 Decker Lane in Austin (TX),Stray,Normal,Dog,Intact Female,3 weeks,Pit Bull Mix,Black/White
A783925,,11/08/2018 05:56:00 PM,11/08/2018 05:56:00 PM,2303 Wagon Grossing Path in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull,White/Black
A742653,Lilly,01/25/2017 03:22:00 PM,01/25/2017 03:22:00 PM,Bratton Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Brown/Black
A755135,*Minnie,07/29/2017 02:28:00 PM,07/29/2017 02:28:00 PM,Highway 183 in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Catahoula Mix,Chocolate/White
A737776,,11/04/2016 12:09:00 PM,11/04/2016 12:09:00 PM,Patricia St And Pamela St in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Yorkshire Terrier Mix,Black/Brown
A683041,,07/06/2014 12:37:00 PM,07/06/2014 12:37:00 PM,1128 Spur in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A678576,Han Solo,05/10/2014 01:27:00 PM,05/10/2014 01:27:00 PM,Ih 35 And Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Pinscher,Black/Tan
A559625,Rico,07/13/2017 03:18:00 PM,07/13/2017 03:18:00 PM,Old Manchaca Rd & Drew Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White
A758853,Buggs,09/23/2017 09:23:00 AM,09/23/2017 09:23:00 AM,Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,2 years,Chihuahua Longhair Mix,White/Tan
A656923,June,11/01/2015 01:52:00 PM,11/01/2015 01:52:00 PM,12505 Rampart St in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
A768476,*Fialla,03/20/2018 10:57:00 AM,03/20/2018 10:57:00 AM,22718 Big Sandy Drive in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Smooth Fox Terrier Mix,White/Tricolor
A776610,Ruby,07/16/2018 03:33:00 PM,07/16/2018 03:33:00 PM,815 W Slaughter Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A751501,,06/09/2017 08:06:00 AM,06/09/2017 08:06:00 AM,Us 290 & Blue Goose in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Pit Bull Mix,Fawn/White
A741843,Thomas,01/10/2017 09:18:00 AM,01/10/2017 09:18:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,7 months,Domestic Shorthair Mix,Orange Tabby
A752501,,06/23/2017 11:00:00 AM,06/23/2017 11:00:00 AM,1735 Rutland Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 week,Domestic Shorthair Mix,Brown Tabby
A689363,Kitty,10/02/2014 05:18:00 PM,10/02/2014 05:18:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Bruss Griffon Mix,Tan
A733763,,08/26/2016 04:12:00 PM,08/26/2016 04:12:00 PM,609 W Lynn St #1 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Raccoon Mix,Gray
A703167,*Chai,05/21/2015 11:02:00 AM,05/21/2015 11:02:00 AM,704 Hyde Park Ct in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A677624,*Claire,04/27/2014 11:23:00 AM,04/27/2014 11:23:00 AM,13096 N 183 in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A663489,Precious,12/17/2014 02:21:00 PM,12/17/2014 02:21:00 PM,Garland Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair/Rat Terrier,Tricolor
A743830,Tank,02/17/2017 06:49:00 PM,02/17/2017 06:49:00 PM,4502 Hudson Bend Rd in Travis (TX),Stray,Normal,Dog,Intact Male,9 years,Queensland Heeler Mix,Blue Tick
A714680,,10/26/2015 05:37:00 PM,10/26/2015 05:37:00 PM,Austin (TX),Owner Surrender,Normal,Other,Unknown,6 months,Hamster Mix,Gray/White
A667415,Phoebe,11/17/2013 05:03:00 PM,11/17/2013 05:03:00 PM,2203 Singletree Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Maltese/Miniature Poodle,White
A699075,,03/22/2015 10:56:00 AM,03/22/2015 10:56:00 AM,E 9Th And San Saba in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Black
A667225,,11/14/2013 04:41:00 PM,11/14/2013 04:41:00 PM,11417 Trails End in Travis (TX),Stray,Injured,Dog,Intact Female,9 years,Siberian Husky Mix,Gray
A768015,Rocco,03/11/2018 12:14:00 PM,03/11/2018 12:14:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 years,Yorkshire Terrier Mix,Gold/Brown
A777688,*Rook,08/01/2018 01:11:00 PM,08/01/2018 01:11:00 PM,15010 Fm 1825 in Pflugerville (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White
A722486,,03/17/2016 02:41:00 PM,03/17/2016 02:41:00 PM,Crownspoint Dr & Mosswood Cir in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Opossum Mix,Gray/White
A666823,*Sadie,11/07/2013 03:35:00 PM,11/07/2013 03:35:00 PM,7607 Glen Hill Cove in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,German Shepherd Mix,Sable
A754906,,07/26/2017 01:50:00 PM,07/26/2017 01:50:00 PM,1400 East 51St in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue Tabby
A745938,*Sully,03/26/2017 04:17:00 PM,03/26/2017 04:17:00 PM,Newcastle Dr And Susses Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown
A642379,Tj,03/25/2014 04:57:00 PM,03/25/2014 04:57:00 PM,2202 Galway St in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Rottweiler Mix,Black/Red
A574488,Nikko,01/13/2016 12:45:00 PM,01/13/2016 12:45:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White
A741209,*Girly,05/17/2017 11:26:00 AM,05/17/2017 11:26:00 AM,21034 Cameron in Manor (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White
A678300,,05/07/2014 09:02:00 AM,05/07/2014 09:02:00 AM,12034 Research in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
A701712,,05/03/2015 03:52:00 PM,05/03/2015 03:52:00 PM,Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A767442,Lady Jasmine,03/01/2018 10:50:00 AM,03/01/2018 10:50:00 AM,Leander (TX),Owner Surrender,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Seal Point
A450274,Tess,07/07/2017 01:15:00 PM,07/07/2017 01:15:00 PM,11724 Dubfries Lane in Austin (TX),Stray,Normal,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Brown
A765493,*Milk Shake,01/21/2018 12:33:00 PM,01/21/2018 12:33:00 PM,12330 Soith Ih 35 Frontage Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,White/Brown
A696008,Gunnar,01/27/2015 02:35:00 PM,01/27/2015 02:35:00 PM,120 Webberwood Way in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Australian Cattle Dog/German Shepherd,Sable
A624026,Gretta,05/10/2015 11:43:00 AM,05/10/2015 11:43:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Vizsla/Catahoula,Red/Tan
A761051,Bluebell,06/28/2018 02:23:00 PM,06/28/2018 02:23:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Soft Coated Wheaten Terrier Mix,Tan/White
A687105,Rico,01/05/2015 03:20:00 PM,01/05/2015 03:20:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A763750,*Louie,12/15/2017 01:35:00 PM,12/15/2017 01:35:00 PM,8610 Ranch Road 620 in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Lionhead,Gray/Gray
A773687,*Joan Cusack,06/04/2018 12:48:00 PM,06/04/2018 12:48:00 PM,Riverside Drive And Pleasant Vally in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Torbie
A707129,Manchas,07/08/2015 12:53:00 PM,07/08/2015 12:53:00 PM,5446 Walnut Grove in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Smooth Fox Terrier Mix,White/Brown
A676984,*Barney,04/17/2014 05:12:00 PM,04/17/2014 05:12:00 PM,W 34Th And Mills in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Longhair Mix,Black/White
A700065,Honey,04/07/2015 12:42:00 PM,04/07/2015 12:42:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,7 months,Domestic Medium Hair Mix,Black/White
A666200,,10/28/2013 04:03:00 PM,10/28/2013 04:03:00 PM,11351 Bradshaw Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Siamese Mix,Lilac Point
A728539,*Stanley,06/05/2016 03:02:00 PM,06/05/2016 03:02:00 PM,10300 Doyle Rd in Del Valle (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A781329,,09/27/2018 01:20:00 PM,09/27/2018 01:20:00 PM,9Th & Congress in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A686070,,08/16/2014 11:17:00 AM,08/16/2014 11:17:00 AM,9300 Northgate Blvd in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Cream Tabby/White
A673974,*Effie,03/05/2014 01:12:00 PM,03/05/2014 01:12:00 PM,14904 Valerian in Travis (TX),Stray,Normal,Dog,Intact Female,7 months,Chihuahua Longhair/Jack Russell Terrier,Black/Tan
A711236,Murphy,09/04/2015 11:20:00 AM,09/04/2015 11:20:00 AM,Matthews in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Labrador Retriever Mix,Tan
A736590,Buddy,01/30/2017 04:07:00 PM,01/30/2017 04:07:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Jack Russell Terrier Mix,White/Brown
A709826,Rico,08/13/2015 01:09:00 PM,08/13/2015 01:09:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Cairn Terrier/Chihuahua Shorthair,Tan
A630325,Kokomo,08/20/2014 05:10:00 PM,08/20/2014 05:10:00 PM,West Dittmar And Palace Pkwy in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Bull Terrier Mix,Red/White
A693699,*Otto,12/13/2014 11:33:00 AM,12/13/2014 11:33:00 AM,1603 Cricket Hollow Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White
A733589,,08/24/2016 10:03:00 AM,08/24/2016 10:03:00 AM,10714 San Jose in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,Black/White
A750683,Lily,05/30/2017 01:17:00 PM,05/30/2017 01:17:00 PM,1815 Trinity St in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
A726812,*Geraldine,05/14/2016 06:23:00 PM,05/14/2016 06:23:00 PM,900 Chicon St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A711165,Lady,12/01/2015 04:37:00 PM,12/01/2015 04:37:00 PM,Ledesma Rd And Springdale Rd in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Pointer Mix,Black/White
A711096,Schatzi,07/26/2018 12:46:00 PM,07/26/2018 12:46:00 PM,710 East Ben White Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,American Staffordshire Terrier Mix,Blue/White
A733311,*Wilma,06/06/2017 11:29:00 AM,06/06/2017 11:29:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,German Shepherd/Plott Hound,Black/White
A687804,,09/10/2014 12:16:00 PM,09/10/2014 12:16:00 PM,7100 Northeast Dr in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue
A673556,Holly,02/26/2014 01:12:00 PM,02/26/2014 01:12:00 PM,Manchaca & Slaughter Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Australian Shepherd Mix,Red/White
A722593,,03/19/2016 11:39:00 AM,03/19/2016 11:39:00 AM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,0 years,Duck Mix,Yellow
A694644,,01/01/2015 12:23:00 PM,01/01/2015 12:23:00 PM,10223 Thaxton in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Border Terrier/Shih Tzu,White/Brown
A650838,Clifford,06/05/2017 05:21:00 PM,06/05/2017 05:21:00 PM,S Pleasant Valley Rd & Teri Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan
A782729,*Remus,10/20/2018 12:24:00 PM,10/20/2018 12:24:00 PM,Slaughter Lane And Interstate 35 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Flat Coat Retriever Mix,Blue/White
A661049,Kitten,07/13/2018 12:00:00 PM,07/13/2018 12:00:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Cat,Spayed Female,10 years,Domestic Longhair Mix,Brown Tabby/White
A690661,,10/23/2014 05:16:00 PM,10/23/2014 05:16:00 PM,7112 Hillcroft Dr in Austin (TX),Stray,Sick,Dog,Intact Male,5 years,Chihuahua Shorthair Mix,Black/Tan
A732760,,08/13/2016 11:02:00 AM,08/13/2016 11:02:00 AM,1704 Citation Dr in Austin (TX),Stray,Normal,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby
A700460,,04/14/2015 10:26:00 AM,04/14/2015 10:26:00 AM,Austin (TX),Stray,Sick,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White
A697222,Levon,02/19/2015 06:36:00 PM,02/19/2015 06:36:00 PM,Hwy 71 And Fm 973 in Del Valle (TX),Stray,Normal,Dog,Intact Male,2 years,Queensland Heeler Mix,Black/Tan
A783151,,10/26/2018 08:11:00 AM,10/26/2018 08:11:00 AM,Anderson Mill & Olson Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A783360,*Dave,10/29/2018 03:07:00 PM,10/29/2018 03:07:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Golden Retriever/Standard Poodle,Apricot
A737338,Hiccup,10/26/2016 07:46:00 AM,10/26/2016 07:46:00 AM,5200 Ravensdale in Austin (TX),Stray,Sick,Dog,Intact Male,1 year,Labrador Retriever Mix,Tan/White
A737666,*Cooper,11/02/2016 12:21:00 PM,11/02/2016 12:21:00 PM,9101 Sweet Gum Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Black
A771402,*Oliver,05/04/2018 02:12:00 PM,05/04/2018 02:12:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue/White
A780724,,09/19/2018 01:36:00 PM,09/19/2018 01:36:00 PM,902 B Sirocco Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue
A692589,,11/23/2014 11:32:00 AM,11/23/2014 11:32:00 AM,1310 Delano St in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue/White
A780913,,09/21/2018 06:47:00 PM,09/21/2018 06:47:00 PM,5207 Pine Place in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White
A655838,Midget,09/25/2018 05:32:00 PM,09/25/2018 05:32:00 PM,7215 Maverick Court in Travis (TX),Public Assist,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,White/Red
A706067,,06/24/2015 12:17:00 PM,06/24/2015 12:17:00 PM,5702 Richmond Ave in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Black
A664519,,10/04/2013 04:20:00 PM,10/04/2013 04:20:00 PM,9611 Decker Lake Rd in Travis (TX),Stray,Normal,Dog,Intact Male,6 years,Carolina Dog Mix,Sable
A667606,*Treasure,11/20/2013 12:29:00 PM,11/20/2013 12:29:00 PM,6806 Thistle Hill Way in Travis (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A695308,Dolly,01/13/2015 02:19:00 PM,01/13/2015 02:19:00 PM,Magna Carta Loop And Breeds Hill in Austin (TX),Stray,Normal,Dog,Spayed Female,13 years,Chihuahua Shorthair/Rat Terrier,White/Tricolor
A778653,Phoebe,12/18/2018 10:33:00 AM,12/18/2018 10:33:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Blue/White
A667358,Sheba,11/16/2013 03:25:00 PM,11/16/2013 03:25:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black
A710491,*Cupcake,08/24/2015 08:40:00 AM,08/24/2015 08:40:00 AM,5338 Thunder Creek in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black/White
A684554,Cupcake,07/25/2014 12:51:00 PM,07/25/2014 12:51:00 PM,Spruce Gum And Deer Run in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Boxer Mix,Brown/White
A786151,,12/18/2018 09:24:00 AM,12/18/2018 09:24:00 AM,9100 Texas Sun in Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Opossum Mix,Gray
A783210,,10/27/2018 11:03:00 AM,10/27/2018 11:03:00 AM,6102 Kidneywood Trl in Austin (TX),Stray,Normal,Dog,Intact Female,3 weeks,Chinese Sharpei Mix,White/Brown
A726861,*Utah,05/15/2016 02:30:00 PM,05/15/2016 02:30:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Tan
A728524,*Pickle,06/05/2016 12:32:00 PM,06/05/2016 12:32:00 PM,13424 Clara Martin in Travis (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Brown
A709866,Nala,08/14/2015 11:42:00 AM,08/14/2015 11:42:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Tan
A711491,,09/07/2015 02:26:00 PM,09/07/2015 02:26:00 PM,973 & 183 in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Plott Hound Mix,Brown/Black
A769252,Oreo,04/02/2018 12:36:00 PM,04/02/2018 12:36:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Medium Hair,Lynx Point
A712594,,09/25/2015 02:33:00 PM,09/25/2015 02:33:00 PM,124 W Anderson Ln in Austin (TX),Stray,Nursing,Cat,Intact Female,2 days,Domestic Shorthair Mix,Calico
A783404,,10/30/2018 01:05:00 PM,10/30/2018 01:05:00 PM,2601 Cardinal Loop in Del Valle (TX),Stray,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair/Dachshund,Black/White
A748617,*Gullah,05/04/2017 03:41:00 PM,05/04/2017 03:41:00 PM,1701 Oak Hill Ln in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Cream/White
A715799,,11/10/2015 11:57:00 AM,11/10/2015 11:57:00 AM,2510 Lehigh Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
A766218,Gizmo,02/04/2018 03:57:00 PM,02/04/2018 03:57:00 PM,Springdale Road And Ledesma in Austin (TX),Stray,Normal,Dog,Neutered Male,10 years,Pekingese Mix,Tricolor
A779895,*Ginger,09/06/2018 02:01:00 PM,09/06/2018 02:01:00 PM,12100 Tunnel Trail in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A774294,,06/13/2018 12:37:00 PM,06/13/2018 12:37:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
